,account_id,type,total_licenses,engagement_ratio,no_engaged_users
173,CEJCY127H6,Customer,163.0,0.7730061349693251,12
174,CFI4O6L1F9,Customer,365.0,0.17534246575342466,9
175,CGBSVK3X8M,Customer,404.0,0.655940594059406,38
176,CKJLTEIYZC,Customer,164.0,0.8719512195121951,19
177,CRGB93WKCS,Customer,178.0,0.2640449438202247,4
178,CSK30LVYLK,Customer,526.0,0.015209125475285171,3
179,CSLQC3C54W,Customer,1000207.0,0.003846203835805988,54
180,CV2A6PG4GK,Customer,176.0,0.5625,20
181,CW2LBM2QSQ,Customer,38.0,0.631578947368421,2
182,CYWE3DKS4F,Customer,159.0,0.49056603773584906,4
183,CZP0NWNTJ5,Customer,174.0,0.5057471264367817,4
184,D09JRD4HQF,Customer,1116.0,0.20161290322580644,29
185,D1IVXAN25W,Customer,376.0,1.851063829787234,35
186,D44K1J6FP8,Customer,1266.0,0.061611374407582936,16
187,D581LTO4RQ,Customer,262.0,0.04580152671755725,6
188,DBVZB0OIH5,Customer,1000102.0,0.001472849769323529,46
189,DFPPWC1QY9,Customer,13.0,0.3076923076923077,1
190,DIGXL9YSU5,Customer,1000245.0,0.00042989467580442794,20
191,DIHSA7HEZ7,Customer,176.0,0.14204545454545456,3
192,DIU1JTKA1C,Customer,325.0,0.9015384615384615,19
193,DJM5GH2IJ4,Customer,536.0,0.23694029850746268,9
194,DKV54C6P1L,Customer,73.0,0.2465753424657534,1
195,DL7FKNDG1J,Customer,1000139.0,0.0003519510788000468,41
196,DNYA3S9UCK,Customer,323.0,0.8111455108359134,35
197,DPG8SBI4Q2,Customer,354.0,0.8926553672316384,41
198,DQZ05EV5KZ,Customer,135.0,0.14814814814814814,1
199,DSAV917RMP,Customer,1000053.0,0.0007969577612386543,30
200,DTBYRGC8KI,Customer,83.0,0.5542168674698795,13
201,DU0ISB5IQN,Customer,39.0,0.4358974358974359,1
202,DWWO8NBHNA,Customer,1000027.0,0.0013409637939775627,116
203,DXOQ8JXLFI,Customer,102.0,0.5980392156862745,9
204,DYT9MOGE4Q,Customer,316.0,1.0981012658227849,9
205,DZX5QJICJD,Customer,38.0,1.2894736842105263,8
206,E05QMKTGV4,Customer,112.0,0.4375,1
207,E088O98BV7,Customer,181.0,0.6022099447513812,3
208,E2GJR81BMQ,Customer,65.0,0.8769230769230769,10
209,E4PA8HYEXF,Customer,507.0,0.4635108481262327,30
210,E54UKIGDIX,Customer,0.0,,40
211,EB8753AYEQ,Customer,201.0,0.373134328358209,9
212,ECUBODS1EE,Customer,1337.0,0.337322363500374,24
213,EF0VOTQTXH,Customer,1095.0,0.3041095890410959,37
214,EHOU6QLZ2R,Customer,51.0,1.1568627450980393,4
215,ERBKN3DKVR,Customer,164.0,0.9207317073170732,19
216,EYUHZ1GV0E,Customer,133.0,0.9548872180451128,3
217,F5SL1YA1RY,Customer,3105.0,0.07600644122383253,7
218,F6XDN8WWII,Customer,416.0,0.4567307692307692,27
219,F74T60PLOZ,Customer,176.0,0.6420454545454546,9
220,F7ZK94YXFI,Customer,706.0,0.5552407932011332,34
221,FCD6MZSGIP,Customer,72.0,0.8472222222222222,13
222,FOCNQDQX6Q,Customer,115.0,0.1565217391304348,3
223,FXHKC856WP,Customer,115.0,0.3130434782608696,3
224,FYO1750CEH,Customer,312.0,0.4967948717948718,33
225,G3XG0TRKY8,Customer,239.0,0.41422594142259417,6
226,G5GKZJRUMX,Customer,162.0,0.5432098765432098,2
227,G5RIFWR0UI,Customer,112.0,0.10714285714285714,5
228,G688U595CE,Customer,1516.0,0.07189973614775726,5
229,G7F9FZJAHS,Customer,62.0,0.5967741935483871,7
230,GABTGDJZ0I,Customer,82.0,0.7195121951219512,11
231,GHFT9ZZCGL,Customer,368.0,0.6114130434782609,18
232,GN0T6DVWRB,Customer,111.0,0.16216216216216217,1
233,GPJNVWRXGK,Customer,155.0,0.3419354838709677,15
234,GUO8I5JWK6,Customer,0.0,,96
235,GVGT2EEHFU,Customer,334.0,0.5508982035928144,34
236,HC36KOF8KR,Customer,238.0,0.23949579831932774,7
237,HC8CAH3GDH,Customer,1556.0,0.6233933161953727,77
238,HDCV4BKTCV,Customer,25.0,0.4,1
239,HF4ABUFWBU,Customer,251.0,0.4342629482071713,1
240,HN2ECLCES1,Customer,506.0,0.06324110671936758,4
